Class Name,URL,Original Width,Original Height,Crop X,Crop Y,Crop Width,Crop Height,Scales
solid,https://www.publicdomainpictures.net/pictures/160000/velka/arriere-plan-couleur-unie.jpg,1920,1280,0,0,1920,1280,0.2474874;0.4949747;0.9899495;1.979899
solid,https://c1.staticflickr.com/9/8208/8185035876_2b056afb92_b.jpg,5456,3064,0,0,5456,3064,0.103389;0.206778;0.4135559;0.8271118;1.654224
solid,https://cdn.pixabay.com/photo/2017/08/14/22/24/fabric-2642229_960_720.jpg,3680,2760,0,0,3680,2760,0.1147768;0.2295535;0.459107;0.918214;1.836428
solid,https://upload.wikimedia.org/wikipedia/commons/6/63/Lasure_bleue.JPG,2816,2112,0,0,2816,2112,0.1499923;0.2999847;0.5999694;1.199939
solid,https://c1.staticflickr.com/9/8753/17091052376_172cbe5bd8_b.jpg,2500,1668,0,0,2500,1668,0.1899184;0.3798367;0.7596735;1.519347
solid,http://13thstreetstudio.typepad.com/.a/6a00d8341eb61d53ef016761747d82970b-pi,613,615,0,0,613,615,0.5167763;1.033553
solid,https://cdn.pixabay.com/photo/2017/08/26/23/01/yellow-2684640_960_720.jpg,396,500,100,150,211,169,1.87446
solid,https://sftextures.com/texture/3791/0/3787/stone-wall-slate-dark-white-layers-mountain-wall-rock-weathered-solid-hard-surface-texture-256x170.jpg,5472,3648,0,0,5472,3648,0.08683767;0.1736753;0.3473507;0.6947014;1.389403
solid,https://sftextures.com/texture/1400/0/1397/noisy-marble-mineral-black-gray-white-shades-sharp-high-resolution-hard-solid-marmor-stone-dark-spots-huge-texture-256x170.jpg,1920,1280,0,0,1920,1280,0.2474874;0.4949747;0.9899495;1.979899
solid,https://get.pxhere.com/photo/black-and-white-texture-floor-asphalt-color-tile-black-colorful-monochrome-material-circle-velvet-background-flooring-color-texture-laminate-flooring-631099.jpg,540,720,0,0,540,720,0.5866367;1.173273
solid,https://c1.staticflickr.com/7/6124/6015543159_e6715abb7c_b.jpg,1024,768,0,0,1024,768,0.4124789;0.8249578;1.649916
solid,https://get.pxhere.com/photo/branch-structure-plant-texture-leaf-petal-pattern-line-macro-powder-pink-flora-circle-plante-magenta-shape-617279.jpg,4032,3024,0,0,4032,3024,0.1047566;0.2095131;0.4190262;0.8380525;1.676105
solid,https://upload.wikimedia.org/wikipedia/commons/d/dc/Dense_connective_tissue-400x.jpg,613,615,0,0,613,615,0.5167763;1.033553
solid,https://c1.staticflickr.com/9/8347/8196108322_43589f09e0_b.jpg,960,540,0,0,960,540,0.5866367;1.173273
solid,https://get.pxhere.com/photo/floor-orange-pattern-line-red-color-brown-monochrome-material-fabric-interior-design-textile-design-bright-uni-flooring-gaudy-1262945.jpg,3264,2448,0,0,3264,2448,0.1294052;0.2588103;0.5176206;1.035241
solid,http://13thstreetstudio.typepad.com/.a/6a00d8341eb61d53ef017c31791c39970b-pi,1916,1920,0,0,1916,1920,0.165336;0.3306721;0.6613441;1.322688
solid,https://sftextures.com/texture/5210/0/5209/concrete-wall-texture-seamless-dark-dirty-planks-horizontal-old-weathered-hard-material-construction-256x187.jpg,960,640,0,0,960,640,0.4949747;0.9899495;1.979899
solid,https://get.pxhere.com/photo/texture-floor-cobblestone-wall-asphalt-pattern-line-gray-grunge-material-concrete-concrete-wall-cement-stucco-flooring-road-surface-597541.jpg,4693,3129,0,0,4693,3129,0.1012412;0.2024825;0.404965;0.8099299;1.61986
solid,https://get.pxhere.com/photo/leather-vintage-antique-texture-floor-rustic-pattern-black-material-textile-worn-background-design-backgrounds-buff-flooring-leathery-634421.jpg,4992,3328,0,0,4992,3328,0.09518746;0.1903749;0.3807498;0.7614996;1.522999
solid,https://c2.staticflickr.com/8/7384/16572309656_e94b0e30ee_z.jpg,960,594,0,0,960,594,0.5333061;1.066612
solid,http://drze.us/Art/Constructions/ShirtFront.jpg,1920,1280,0,0,1920,1280,0.2474874;0.4949747;0.9899495;1.979899
solid,https://get.pxhere.com/photo/texture-floor-pattern-line-blue-paper-material-card-textile-background-aqua-turquoise-text-message-scratched-cover-content-flooring-645030.jpg,2000,1500,0,0,2000,1500,0.2111892;0.4223784;0.8447568;1.689514
solid,https://sftextures.com/texture/3653/0/3652/concrete-marble-stone-wall-quarts-small-dark-spots-light-white-crystals-seamless-even-regular-diorite-smooth-texture-256x256.jpg,960,656,0,0,960,656,0.4829022;0.9658044;1.931609
solid,https://c1.staticflickr.com/9/8331/8104974424_390449451b_b.jpg,1024,768,0,0,1024,768,0.4124789;0.8249578;1.649916
solid,https://sftextures.com/texture/5353/0/5352/concrete-wall-texture-seamless-crack-middle-white-plaster-sloppy-dark-material-construction-work-256x170.jpg,960,640,0,0,960,640,0.4949747;0.9899495;1.979899
solid,https://www.maxpixel.net/static/photo/1x/Stonewall-Old-Solid-Wall-Rock-Stone-Fabric-3260243.jpg,960,640,0,0,960,640,0.4949747;0.9899495;1.979899
solid,https://sftextures.com/texture/5105/0/5099/dark-metal-texture-seamless-grey-grungy-noisy-horizontal-pattern-solid-closeup-design-material-surface-256x256.jpg,4500,3000,0,0,4500,3000,0.1055946;0.2111892;0.4223784;0.8447568;1.689514
solid,https://sftextures.com/texture/552/0/1422/metal-rough-dirty-white-dust-spots-seamless-huge-texture-256x170.jpg,2448,3264,600,490,1122,758,0.4179206;0.8358413;1.671683
solid,https://c1.staticflickr.com/7/6145/6033961968_68a9456bea_b.jpg,960,640,0,0,960,640,0.4949747;0.9899495;1.979899
solid,https://www.publicdomainpictures.net/pictures/170000/velka/rope-1462885289NS2.jpg,1920,1280,0,0,1920,1280,0.2474874;0.4949747;0.9899495;1.979899
solid,https://upload.wikimedia.org/wikipedia/commons/4/4c/Navy-Radome.jpg,3264,2448,1350,360,1732,1695,0.1868931;0.3737862;0.7475725;1.495145
solid,https://c1.staticflickr.com/3/2171/4508144326_9d54b892d5_b.jpg,390,303,100,70,194,171,1.852537
solid,https://upload.wikimedia.org/wikipedia/en/3/3c/Aluminum_Honecomb_Sheet.jpg,1920,1920,0,0,1920,1920,0.1649916;0.3299832;0.6599663;1.319933
solid,https://sftextures.com/texture/5285/0/5284/shiny-metal-texture-grey-bumpy-sheet-plate-noisy-pattern-cuts-solid-hard-material-255x255.jpg,960,640,0,0,960,640,0.4949747;0.9899495;1.979899
solid,https://c1.staticflickr.com/8/7605/16940463771_0f740ef570_b.jpg,613,615,0,0,613,615,0.5167763;1.033553
solid,https://www.publicdomainpictures.net/pictures/120000/velka/peach-background-gradient-texture-2.jpg,4592,3448,0,0,4592,3448,0.09187466;0.1837493;0.3674986;0.7349973;1.469995
solid,https://upload.wikimedia.org/wikipedia/commons/c/c1/Expanded_metal.jpg,345,888,70,280,212,179,1.769742
solid,https://upload.wikimedia.org/wikipedia/commons/c/ce/Malinois_playing_with_bite_tug_made_of_french_linen.JPG,960,640,0,0,296,272,1.164647
solid,https://upload.wikimedia.org/wikipedia/commons/f/f9/ATV_shielding_after_impact_test_ESA313132.jpg,615,615,0,0,615,615,0.5150957;1.030191
solid,https://upload.wikimedia.org/wikipedia/commons/6/6a/2013_Fiat_Panda_Easy_1.2.jpg,1024,1024,360,530,271,233,1.359587
solid,https://sftextures.com/texture/3954/0/3952/sea-view-old-arc-windows-double-old-light-beige-concrete-solid-material-dangerous-high-opening-shore-kai-blue-sky-outside-stock-photo-170x256.jpg,726,1479,60,480,259,242,1.309024
solid,https://sftextures.com/texture/575/0/572/horizontal-aluminium-plates-open-ventilation-hole-huge-texture-with-shadows-256x170.jpg,2000,1362,0,810,618,559,0.5666974;1.133395
solid,https://cdn.pixabay.com/photo/2017/07/28/18/05/background-2549400_960_720.jpg,901,720,0,0,901,720,0.4399776;0.8799551;1.75991
solid,https://c1.staticflickr.com/2/1602/24690052169_de2b5e7ed9_b.jpg,890,799,240,330,306,301,1.052438
solid,https://asc.army.mil/web/wp-content/uploads/2017/06/BTDT_3254154.jpg,2029,3000,580,1690,831,827,0.3830518;0.7661036;1.532207
solid,https://c1.staticflickr.com/1/270/19068107276_195f9c38ab_z.jpg,3200,3200,0,0,3200,3200,0.09899495;0.1979899;0.3959798;0.7919596;1.583919
solid,https://upload.wikimedia.org/wikipedia/commons/4/46/1984_Volvo_740_GLE_Overdrive_%2815116407622%29.jpg,2294,1828,1740,850,475,481,0.6669133;1.333827
solid,https://upload.wikimedia.org/wikipedia/commons/f/f3/Ognisko_ubt_0126.jpeg,780,682,620,420,157,146,2.169752
solid,https://get.pxhere.com/photo/antique-old-pattern-craft-colorful-circle-gourd-textile-art-mexico-mosaic-handmade-shape-traditional-handicraft-beads-treasure-beaded-gourd-bowl-553013.jpg,317,768,90,120,157,162,2.017731
solid,https://upload.wikimedia.org/wikipedia/en/e/e0/Channeling_map_range_10keV_Si_Si_wikimedia.png,960,640,680,0,289,274,1.156145
solid,https://sftextures.com/texture/6114/0/6115/brown-concrete-wall-grungy-x-tiled-texture-dirty-moldy-planks-old-damaged-leaking-surface-256x171.jpg,960,720,340,250,257,191,1.658554
solid,https://media.defense.gov/2015/Jun/02/2001053889/-1/-1/0/150527-F-JD217-026.JPG,800,514,0,0,800,514,0.616311;1.232622
solid,https://upload.wikimedia.org/wikipedia/commons/7/7f/Tartan_Ribbon.jpg,800,629,270,320,170,121,2.618048
solid,https://c2.staticflickr.com/4/3174/2363202459_ffe1735f46_z.jpg?zz=1,1600,1200,270,0,686,637,0.4973059;0.9946117;1.989223
solid,https://sftextures.com/texture/1553/0/1552/grey-grunge-concrete-wall-small-sharp-stone-shades-of-gray-colors-hard-solid-material-porous-surface-huge-texture-256x170.jpg,1920,1280,0,0,1920,1280,0.2474874;0.4949747;0.9899495;1.979899
